
#,Team,Score
1,217,2100
2,dcua,2100
3,KITCTF,2100
4,0xbadf00d,2100
5,.elite,2100
6,khack40,2100
7,xil.se,2100
8,p4,2100
9,SnatchTheRoot,2100
10,CInsects,2100
11,Tasteless,2100
12,TokyoWesterns,2100
13,SpamAndHex,2100
14,ALLES,2100
15,Dragon Sector,2100
16,b01lers,2100
17,team-sportsball,2100
18,securimag,2100
19,0x90r00t,2100
20,scryptos,2100
21,Raccoons,2100
22,kopipacket,2100
23,DlcsHrs,2100
24,PLUS,2100
25,defragmented.brains,2100
26,w0pr,2100
27,LosFuzzys,2100
28,TenDollar,2100
29,Play4Fun,2100
30,a1exdandy,2100
31,Hexpresso,2100
32,StratumAuhuur,2100
33,BatmansKitchen,2100
34,Insanity,2100
35,signal,2100
36,TheGoonies,2100
37,HacknamStyle,2100
38,c00kiesATvenice,2100
39,u,2050
40,BalalaikaCr3w,2050
41,Rule110,2050
42,du1iqvw,2020
43,yangyue250216,1980
44,BabyPhD,1970
45,TSG,1970
46,BreakPoint,1970
47,int3pids,1960
48,MV9rwGOf08,1950
49,whitehatters-uk,1940
50,Invulnerable,1940
51,Espacio,1940
52,Samurai,1930
53,Bushwhackers,1930
54,monads,1920
55,negainoido,1890
56,nullify,1890
57,HackingForSoju,1880
58,Shady Hats,1860
59,SiBears,1860
60,ISITDTU,1840
61,Brutewoorse,1840
62,Balsn,1820
63,bicycle_overdrive,1820
64,OpenToAll,1810
65,Animal.OhYeah,1810
66,Mammon Machine,1810
67,TJ CSL,1780
68,HackXore,1770
69,Shellphish,1750
70,Future Of Europe,1750
71,amn3s1a,1740
72,H4x0rPsch0rr,1730
73,meepwn,1710
74,Yozakura,1690
75,jfhs,1680
76,Team b0wa9a,1680
77,BambooFox,1680
78,QuokkaLight,1650
79,HackCat,1640
80,CorpOfHack,1630
81,Hackthissite,1630
82,cctt,1620
83,FluxFingers,1610
84,0xBU,1610
85,hashtagshells,1610
86,MAVISANG,1600
87,pm-hibernate,1600
88,atx2600,1570
89,dotHack,1560
90,RDot.Org,1550
91,cpaw,1550
92,Nabla,1540
93,dodododo,1530
94,crayontheft,1520
95,komarov,1510
96,mongo,1500
97,ROIS,1500
98,UCL-THOR,1500
99,twotorulethemall,1480
100,AV1ct0r,1480
101,omakase,1470
102,LEGOFAN,1460
103,BitsForEveryone,1440
104,11-digit Prime Number,1440
105,Magic-Hat,1420
106,q86,1380
107,PeterPen,1360
108,FarmingSimulator2015Game.exe,1360
109,BU,1360
110,takaki,1360
111,Embedded_Interns,1350
112,noraneco,1350
113,Avidya,1350
114,SSSS,1340
115,GlandOS,1340
116,0x34044,1320
117,EskimoBrothers,1320
118,dtuhax,1320
119,Kileak,1300
120,kn1f3,1300
121,Slug Security,1290
122,Pistachio,1290
123,brine,1280
124,0ops,1270
125,invincible,1270
126,CaptureTheSwag,1260
127,distcc,1260
128,Karpuz,1260
129,ernacktob,1260
130,m1z0r3,1250
131,0x8F,1240
132,objEEdump,1230
133,dmuhackers,1230
134,Bono_iPad,1220
135,lightless,1190
136,ECX Inc.,1190
137,censored,1180
138,blah,1170
139,xeksec,1150
140,girav,1140
141,JohnDoe,1140
142,byteshredders,1140
143,TeamredAce,1130
144,junan1234,1120
145,peat,1110
146,fetchAndLog,1100
147,WhatTheSheep,1100
148,dekhi,1100
149,CTF-infinit,1100
150,PHCN,1090
151,munsiwoo,1090
152,SharLike,1090
153,P_TE,1080
154,IngloriousMonkeys,1080
155,morganFr33man,1070
156,PKTeam,1070
157,REU,1070
158,Honeypot,1070
159,cyberkastike,1060
160,csg,1050
161,YOKARO-MON,1040
162,f3llas,1040
163,op.rad,1030
164,IASL,1030
165,1up,1030
166,Hackstangs,1030
167,LongCat,1020
168,n4m4h4mum3r0n,1010
169,Dystopian Narwhals,1010
170,bongtrop,1010
171,LSE,1000
172,koaidien,1000
173,Team Action Kaktus,1000
174,ByteBandits,1000
175,ascii overflow,990
176,enZyme,980
177,NIS,980
178,breadsticks,970
179,SUCSS,970
180,g0tiu5a,970
181,VoidHack,970
182,YACT,970
183,Popup Observers,970
184,err0r-451,960
185,Knightsec,960
186,DjigIT,960
187,Nxgr,950
188,No Internet Access,940
189,guardian,930
190,PPP,930
191,B3averTh1ef,920
192,Execut3,920
193,Kesatria Garuda,900
194,hackeriet,890
195,et_illustratis,880
196,BlackH0le,880
197,th3jackers,880
198,All4Hacks,880
199,umbccd,860
200,riticalc,850
201,ez ctf ez life,850
202,smoke leet everyday,840
203,GNUnu,840
204,tank1st99,840
205,phreeek,840
206,cmp,830
207,squareroots,830
208,moongs,820
209,s2pAIr,820
210,9SOC,810
211,coerce,810
212,vulnhub-ctf,810
213,HumanCurse,800
214,DisturbedSystems,800
215,Owl,800
216,aaaa,800
217,MrGr3y,790
218,Shady.Solutions,790
219,UCCU,790
220,Sunset,780
221,samsam,770
222,LostGeneration,770
223,c21h30o2,770
224,lmstz,760
225,ARGOS,750
226,PiggyBird,750
227,C521,750
228,jagotu,730
229,dddong,730
230,korabum,730
231,CCSF_HACKERS2,720
232,Undef1nd,720
233,beercodecoffee,720
234,napdrag0n,720
235,lmxs,710
236,Meerkat,710
237,kpool,710
238,porpeeranut,700
239,catontree,690
240,RnD,690
241,andnotorg,680
242,init,680
243,fistful_of_bits,680
244,otterHackers,670
245,starter,660
246,Shurhands,660
247,Thanos,650
248,SUSlo.PAS,650
249,CAT-Security,640
250,abrakadabra,620
251,rutrack,610
252,Rootmont,610
253,sattvika,610
254,Itemize,610
255,Isola 229,610
256,LiveOverflow,610
257,MSTUCA,610
258,NaruseJun,600
259,nebulus,600
260,OPT,600
261,delicious_cakes,600
262,seeker,590
263,xiashang,590
264,hymanz,590
265,talent-A,580
266,fuckin_h,580
267,SAugen,580
268,At Least We're Pretty,580
269,Shine,580
270,NYUSEC,570
271,beanwtf,570
272,waki,570
273,ShellWarp,570
274,LoNePaNdA,560
275,duguhu,560
276,samrk09,560
277,goldcow,550
278,randomteam4141,550
279,rtheory,540
280,OverDover,540
281,Pocahontas,540
282,FDG,540
283,Calle,540
284,gooligans,530
285,gnashsec,530
286,chocolate,530
287,argent,530
288,seiyakyokai,530
289,Notyetbutsoon,530
290,hikshiks,530
291,brucel33t,520
292,rkkautsar,520
293,Cafelinux,520
294,dqi,510
295,okudo3,510
296,CaptainRNG,510
297,criple_ripper,500
298,faaip,500
299,e11even,500
300,rays,500
301,lonewolf,500
302,kosolart,480
303,efiens,470
304,uosec,470
305,svxf,460
306,RTFM,460
307,LettersS,460
308,wics,460
309,cyrius,460
310,imcu,460
311,moo,450
312,X,450
313,hanto,440
314,anidear,440
315,sexyplatypussies,440
316,noobs,440
317,DarkShell,440
318,ctfhallam,440
319,pieguy,440
320,bi0s,430
321,Veneno,420
322,g399,420
323,Hell.zip,420
324,hatstack,420
325,duks,410
326,lolzor,410
327,monochrome,410
328,BugBunnys,410
329,zwhubuntu,410
330,wtfmehftw,410
331,lolwut,410
